Kennziffer,Raumeinheit,Aggregat,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote,Arbeitslosenquote
,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01,Schleswig-Holstein,Land,10.0,9.4,8.5,8.4,8.7,9.7,9.8,11.6,10.0,8.4,7.6,7.8,7.5,7.2,6.9,6.9,6.8,6.5
02,Hamburg,Land,11.3,10.4,8.9,8.3,9.0,9.9,9.7,11.3,11.0,9.2,8.1,8.6,8.2,7.8,7.5,7.4,7.6,7.4
03,Niedersachsen,Land,11.1,10.3,9.3,9.1,9.2,9.6,9.6,11.6,10.5,8.9,7.7,7.7,7.5,6.9,6.6,6.6,6.5,6.1
04,Bremen,Land,15.2,14.3,13.0,12.4,12.5,13.2,13.3,16.8,14.9,12.8,11.4,11.8,12.0,11.6,11.2,11.1,10.9,10.9
05,Nordrhein-Westfalen,Land,10.7,10.2,9.2,8.8,9.2,10.0,10.2,12.0,11.4,9.6,8.5,8.9,8.7,8.1,8.1,8.3,8.2,8.0
06,Hessen,Land,9.0,8.3,7.3,6.6,7.0,7.9,8.2,9.7,9.2,7.6,6.6,6.8,6.4,5.8,5.7,5.8,5.7,5.5
07,Rheinland-Pfalz,Land,8.8,8.2,7.3,6.8,7.2,7.7,7.7,8.8,8.0,6.5,5.6,6.1,5.7,5.3,5.3,5.5,5.4,5.2
08,Baden-Wuerttemberg,Land,7.1,6.5,5.4,4.9,5.4,6.1,6.2,7.0,6.3,4.9,4.1,5.1,4.9,4.1,3.9,4.1,4.0,3.8
09,Bayern,Land,7.0,6.4,5.5,5.3,6.0,6.9,6.9,7.8,6.8,5.4,4.2,4.8,4.5,3.8,3.7,3.8,3.8,3.6
10,Saarland,Land,11.5,10.8,9.8,9.0,9.1,9.5,9.2,10.7,9.9,8.4,7.3,7.7,7.5,6.7,6.7,7.3,7.2,7.2
11,Berlin,Land,16.1,15.9,15.8,16.1,16.9,18.1,17.6,19.0,17.5,15.5,13.9,14.0,13.6,13.3,12.3,11.7,11.1,10.7
12,Brandenburg,Land,17.6,17.4,17.0,17.4,17.5,18.8,18.7,18.2,17.0,14.9,13.0,12.3,11.1,10.7,10.2,9.9,9.4,8.7
13,Mecklenburg-Vorpommern,Land,19.2,18.2,17.8,18.3,18.6,20.1,20.5,20.3,19.0,16.6,14.1,13.5,12.7,12.6,12.0,11.7,11.2,10.4
14,Sachsen,Land,17.5,17.2,17.0,17.5,17.8,17.9,17.8,18.3,17.0,14.8,12.8,12.9,11.8,10.7,9.8,9.4,8.8,8.2
15,Sachsen-Anhalt,Land,20.4,20.3,20.2,19.7,19.6,20.5,20.3,20.2,18.3,16.1,14.0,13.6,12.5,11.7,11.5,11.2,10.7,10.2
16,Thueringen,Land,17.1,15.4,15.4,15.3,15.9,16.7,16.7,17.1,15.6,13.2,11.3,11.4,9.8,8.9,8.5,8.2,7.8,7.4
