cntry,year,emprate,foreignpct,socx,netmigpct,country
36,1996,68.38307952880859,21.29999923706055,16.60000038146973,1.294909238815308,Australia
36,2006,72.97335815429688,21.29999923706055,17.10000038146973,3.14409065246582,Australia
124,1996,66.95101165771484,17.20000076293945,18,2.189592599868774,Canada
124,2006,72.69680023193359,19.5,16.39999961853027,3.334561586380005,Canada
191,1996,,15.39999961853027,,,Croatia
191,2006,,14.89999961853027,,-.2903196811676025,Croatia
203,1996,,4.400000095367432,,,Czech Republic
203,2006,,4.400000095367432,,.5561347603797913,Czech Republic
208,1996,73.2279052734375,5.699999809265137,28.10000038146973,1.116411685943604,Denmark
208,2006,76.80957794189453,7.800000190734863,27,.8420085906982422,Denmark
246,1996,62.01346206665039,2,30.70000076293945,.8344753384590149,Finland
246,2006,69.404052734375,3.299999952316284,26.10000038146973,.6350812911987305,Finland
250,1996,58.169677734375,10.5,28.79999923706055,.4139685928821564,France
250,2006,61.84713745117188,10.60000038146973,29.10000038146973,1.249476790428162,France
276,1996,64.15186309814453,11,27,3.244506597518921,Germany
276,2006,67.40676116943359,12.89999961853027,26.70000076293945,1.127768635749817,Germany
348,1996,,2.799999952316284,,,Hungary
348,2006,,3.299999952316284,,.6559192538261414,Hungary
372,1996,56.05609893798828,7.300000190734863,14.69999980926514,-.0345816537737846,Ireland
372,2006,69.33929443359375,14.80000019073486,16.70000076293945,5.522925853729248,Ireland
376,1996,,34.59999847412109,,,Isreal
376,2006,,38.40000152587891,,1.485332131385803,Isreal
392,1996,74.41401672363281,1.085999965667725,14.5,.3772075474262238,Japan
392,2006,76.22027587890625,1.564000010490417,18.5,.0641848519444466,Japan
410,1996,,1.299999952316284,,,South Korea
410,2006,,1.100000023841858,,-.2041568011045456,South Korea
428,1996,,21.20000076293945,,,Latvia
428,2006,,16.5,,-.8512887358665466,Latvia
528,1996,65.85250854492188,9,22.60000038146973,1.235135793685913,Netherlands
528,2006,74.92970275878906,10.60000038146973,20.79999923706055,.6710233092308044,Netherlands
554,1996,71.75603485107422,16.20000076293945,18.89999961853027,3.88337779045105,New Zealand
554,2006,76.01436614990234,20.70000076293945,18.5,2.480079412460327,New Zealand
578,1996,74.37256622314453,5.400000095367432,22.5,.9734174609184265,Norway
578,2006,76.38436126708984,8,21.60000038146973,1.825211405754089,Norway
616,1996,,2.5,,,Poland
616,2006,,2.200000047683716,,-.2726864516735077,Poland
620,1996,65.26050567626953,5.300000190734863,17.5,-.0035105214919895,Portugal
620,2006,72.091064453125,7.199999809265137,23.10000038146973,2.751374959945679,Portugal
643,1996,,7.900000095367432,,,Russia
643,2006,,8.399999618530273,,1.092857837677002,Russia
705,1996,,10.10000038146973,,,Slovenia
705,2006,,8.399999618530273,,1.125683188438416,Slovenia
724,1996,47.5751953125,2.599999904632568,21.29999923706055,.8216873407363892,Spain
724,2006,64.84596252441406,10.60000038146973,21.20000076293945,5.76934289932251,Spain
752,1996,70.34078979492188,10.30000019073486,31.60000038146973,1.707224607467651,Sweden
752,2006,72.93346405029297,12.30000019073486,29.39999961853027,2.063754081726074,Sweden
756,1996,82.60142517089844,20.89999961853027,18,3.222482681274414,Switzerland
756,2006,84.54134368896484,22.29999923706055,20.20000076293945,2.690053939819336,Switzerland
826,1996,68.315673828125,7.199999809265137,19.89999961853027,.2884381115436554,United Kingdom
826,2006,70.22309875488281,9.699999809265137,21.20000076293945,1.573428630828857,United Kingdom
840,1996,71.77012634277344,10.69999980926514,15.10000038146973,2.465555191040039,United States
840,2006,71.92974090576172,13.30000019073486,15.89999961853027,1.919101119041443,United States
