cntry,year,emprate,foreignpct,netmig,pop,socx,issp,cforborn,gdp,netmigpct,country,gdppc2006,socdem,liberal,ethnichet,mcpcat,mcp1980,mcp2000,mcp2010,mipex2007,mipex2010,mipex,mcp
36,1996,68.38308,21.299999,234016,18072000,16.6,1,0,,1.2949092,Australia,34149,0,1,.1496,3,5,8,8,,68,68,8
36,2006,72.973358,21.299999,641231,20394800,17.1,1,0,,3.1440907,Australia,34149,0,1,.1496,3,5,8,8,,68,68,8
124,1996,66.951012,17.200001,642733,29354000,18,1,2.2999992,,2.1895926,Canada,35088,0,1,.72610003,3,5,7.5,7.5,71,72,71,7.5
124,2006,72.6968,19.5,1088701,32649000,16.4,1,2.2999992,,3.3345616,Canada,35088,0,1,.72610003,3,5,7.5,7.5,71,72,71,7.5
191,1996,,15.4,,,,0,-.5,,,Croatia,10090,,,,,,,,,,,
191,2006,,14.9,-12896,4442000,,1,-.5,,-.29031968,Croatia,10090,,,,,,,,,,,
203,1996,,4.4000001,,,,0,0,,,Czech Republic,12706,,,,,,,,42,46,42,
203,2006,,4.4000001,56925,10235828,,1,0,,.55613476,Czech Republic,12706,,,,,,,,42,46,42,
208,1996,73.227905,5.6999998,58366,5228000,28.1,0,2.1000004,,1.1164117,Denmark,47547,1,0,.093199998,1,0,.5,0,51,53,51,.25
208,2006,76.809578,7.8000002,45603,5415978,27,1,2.1000004,,.84200859,Denmark,47547,1,0,.093199998,1,0,.5,0,51,53,51,.25
246,1996,62.013462,2,42625,5108000,30.700001,0,1.3,,.83447534,Finland,37319,1,0,.1517,1,0,1.5,6,70,69,70,3.75
246,2006,69.404053,3.3,33317,5246100,26.1,1,1.3,,.63508129,Finland,37319,1,0,.1517,1,0,1.5,6,70,69,70,3.75
250,1996,58.169678,10.5,239456,57844000,28.799999,1,.10000038,,.41396859,France,33819,0,0,.3998,1,1,2,2,54,51,54,2
250,2006,61.847137,10.6,760594,60873000,29.1,1,.10000038,,1.2494768,France,33819,0,0,.3998,1,1,2,2,54,51,54,2
276,1996,64.151863,11,2648880,81642000,27,1,1.8999996,,3.2445066,Germany,33543,0,0,.2185,1,0,2,2.5,59,57,59,2.25
276,2006,67.406761,12.9,930064,82469400,26.700001,1,1.8999996,,1.1277686,Germany,33543,0,0,.2185,1,0,2,2.5,59,57,59,2.25
348,1996,,2.8,,,,0,.5,,,Hungary,10937,,,,,,,,47,45,47,
348,2006,,3.3,66163,10087065,,1,.5,,.65591925,Hungary,10937,,,,,,,,47,45,47,
372,1996,56.056099,7.3000002,-1248,3608850,14.7,1,7.5,,-.034581654,Ireland,48866,0,1,.096900001,1,1,1.5,6,52,49,52,3.75
372,2006,69.339294,14.8,229704,4159100,16.700001,1,7.5,,5.5229259,Ireland,48866,0,1,.096900001,1,1,1.5,6,52,49,52,3.75
376,1996,,34.599998,,,,0,3.8000031,,,Isreal,19330,,,,,,,,,,,
376,2006,,38.400002,102935,6930100,,1,3.8000031,,1.4853321,Isreal,19330,,,,,,,,,,,
392,1996,74.414017,1.086,474380,125761000,14.5,1,.47800004,,.37720755,Japan,35781,0,1,.025800001,1,0,0,0,,38,38,0
392,2006,76.220276,1.564,82000,127756000,18.5,1,.47800004,,.064184852,Japan,35781,0,1,.025800001,1,0,0,0,,38,38,0
410,1996,,1.3,,,,0,-.19999993,,,South Korea,17551,,,,,,,,,,,
410,2006,,1.1,-98277,48138000,,1,-.19999993,,-.2041568,South Korea,17551,,,,,,,,,,,
428,1996,,21.200001,,,,0,-4.7000008,,,Latvia,6973,,,,,,,,30,31,30,
428,2006,,16.5,-19584,2300512,,1,-4.7000008,,-.85128874,Latvia,6973,,,,,,,,30,31,30,
528,1996,65.852509,9,190952,15460000,22.6,0,1.6000004,,1.2351358,Netherlands,39122,0,0,.3272,2,2.5,5.5,2,71,68,71,3.75
528,2006,74.929703,10.6,109510,16319850,20.799999,1,1.6000004,,.67102331,Netherlands,39122,0,0,.3272,2,2.5,5.5,2,71,68,71,3.75
554,1996,71.756035,16.200001,142652,3673400,18.9,1,4.5,,3.8833778,New Zealand,27354,0,1,.49599999,2,2.5,5,5.5,,,,5.25
554,2006,76.014366,20.700001,102524,4133900,18.5,1,4.5,,2.4800794,New Zealand,27354,0,1,.49599999,2,2.5,5,5.5,,,,5.25
578,1996,74.372566,5.4000001,42441,4360000,22.5,1,2.5999999,,.97341746,Norway,65767,1,0,.1191,1,0,0,3.5,67,66,67,1.75
578,2006,76.384361,8,84385,4623300,21.6,1,2.5999999,,1.8252114,Norway,65767,1,0,.1191,1,0,0,3.5,67,66,67,1.75
616,1996,,2.5,,,,0,-.29999995,,,Poland,7963,,,,,,,,43,42,43,
616,2006,,2.2,-104072,38165445,,1,-.29999995,,-.27268645,Poland,7963,,,,,,,,43,42,43,
620,1996,65.260506,5.3000002,-352,10027000,17.5,0,1.8999996,,-.0035105215,Portugal,18186,0,0,.1543,1,1,2,3.5,76,79,76,2.75
620,2006,72.091064,7.1999998,291215,10584344,23.1,1,1.8999996,,2.751375,Portugal,18186,0,0,.1543,1,1,2,3.5,76,79,76,2.75
643,1996,,7.9000001,,,,0,.49999952,,,Russia,5337,,,,,,,,,,,
643,2006,,8.3999996,1564426,143150000,,1,.49999952,,1.0928578,Russia,5337,,,,,,,,,,,
705,1996,,10.1,,,,0,-1.7000008,,,Slovenia,17855,,,,,,,,53,48,53,
705,2006,,8.3999996,22519,2000474,,1,-1.7000008,,1.1256832,Slovenia,17855,,,,,,,,53,48,53,
724,1996,47.575195,2.5999999,323638,39387000,21.299999,1,8,,.82168734,Spain,26056,0,0,.7033,1,0,1,3.5,62,63,62,2.25
724,2006,64.845963,10.6,2503788,43398150,21.200001,1,8,,5.7693429,Spain,26056,0,0,.7033,1,0,1,3.5,62,63,62,2.25
752,1996,70.34079,10.3,150765,8831000,31.6,1,2,,1.7072246,Sweden,41041,1,0,.21439999,2,3,5,7,85,83,85,6
752,2006,72.933464,12.3,186234,9024040,29.4,1,2,,2.0637541,Sweden,41041,1,0,.21439999,2,3,5,7,85,83,85,6
756,1996,82.601425,20.9,226895,7041000,18,1,1.3999996,,3.2224827,Switzerland,50083,0,0,.34830001,1,0,1,1,43,43,43,1
756,2006,84.541344,22.299999,200062,7437100,20.200001,1,1.3999996,,2.6900539,Switzerland,50083,0,0,.34830001,1,0,1,1,43,43,43,1
826,1996,68.315674,7.1999998,167349,58019030,19.9,1,2.5,,.28843811,United Kingdom,37867,0,1,.1506,2,2.5,5.5,5.5,66,57,66,5.5
826,2006,70.223099,9.6999998,947621,60226500,21.200001,1,2.5,,1.5734286,United Kingdom,37867,0,1,.1506,2,2.5,5.5,5.5,66,57,66,5.5
840,1996,71.770126,10.7,6565231,266278000,15.1,1,2.6000004,,2.4655552,United States,42516,0,1,.4707,2,3,3,3,,62,62,3
840,2006,71.929741,13.3,5675799,295753000,15.9,1,2.6000004,,1.9191011,United States,42516,0,1,.4707,2,3,3,3,,62,62,3
