AME,lower,upper,id
-.0273,-.05604,.00143,t33m1
-.01627,-.03989,.00735,t33m2
-.0127,-.0337,.00829,t33m3
-.01715,-.03722,.00291,t33m4
-.01884,-.03881,.00111,t33m5
-.02775,-.05691,.00141,t33m6
-.0169,-.04161,.00781,t33m7
-.01327,-.03518,.00863,t33m8
-.0177,-.03879,.00337,t33m9
-.01936,-.04021,.00148,t33m10
-.14264,-1.91459,1.6293,t33m11
-.69668,-2.153,.75964,t33m12
-.87331,-2.16823,.42159,t33m13
.12731,-1.11022,1.36484,t33m14
-.36475,-1.59539,.86588,t33m15
-.3514,-1.97624,1.27343,t33m16
-.99314,-2.37002,.38372,t33m17
-1.13019,-2.35136,.09098,t33m18
-.13494,-1.30949,1.03961,t33m19
-.61016,-1.77162,.5513,t33m20
