"","Var.1","Hresult","Hresult.1","Hresult.2","Hresult.3","Hresult.4","Hresult.5","Hresult.6","Hresult.7","Hresult.8","Hresult.9","Hresult.10","Hresult.11"
"2","(Intercept)","-0.738 *","No test","-0.562","No test","-0.400","No test","0.439","No test","0.331","No test","-2.155","No test"
"66","Jobs","","","-0.214","No test","-0.154","No test","13.418","No test","13.881","No test","15.801 ***","No test"
"82","IncDiff","","","-0.034","No test","-0.221","No test","-13.580","No test","-13.720","No test","-14.463 ***","No test"
"98","House","","","-0.182","No test","0.068","No test","-0.038","No test","-0.055","No test","","No test"
"146","u_expgroup1","","","","","-0.331","No test","","","","","","No test"
"147","u_delibtreatmentgroup1","","","","","-0.054","No test","","","","","","No test"
"150","logit","","","","","","","0.569","No test","1.143","No test","1.223","No test"
"154","ols","","","","","","","0.787","No test","1.295","No test","3.968","No test"
"158","Stock","","","","","","","-2.010","No test","-2.137","No test","-2.530","No test"
"162","ChangeFlow","","","","","","","-83.068 *","No test","-99.463","No test","-272.542 ***","No test"
"182","w2006","","","","","","","","","-2.003","No test","-3.172","No test"
"184","w2016","","","","","","","","","1.518","No test","2.306","No test"
"186","orig13","","","","","","","","","1.000","No test","3.288 *","No test"
"188","eeurope","","","","","","","","","3.942","No test","7.245","No test"
"190","allavailable","","","","","","","","","-3.653","No test","-4.038","No test"
"202","twowayfe","","","","","","","","","","","1.648","No test"
"203","level_cyear","","","","","","","","","","","2.589","No test"
"204","mlm_fe","","","","","","","","","","","75.697 ***","No test"
"206","anynonlin","","","","","","","","","","","-2.215","No test"
"65","(Intercept)","0.853 ***","Reject","1.293 **","Reject","1.704 **","Reject","2.731 **","Reject","1.746","Reject","2.397","Reject"
"121","Jobs","","","-0.276","Reject","-0.208","Reject","-0.112","Reject","-0.165","Reject","-1.012","Reject"
"137","IncDiff","","","-1.232","Reject","-1.439","Reject","-1.566","Reject","-1.257","Reject","0.378","Reject"
"145","House","","","0.955","Reject","1.231","Reject","1.067","Reject","1.336","Reject","","Reject"
"148","u_expgroup1","","","","","-0.253","Reject","","","","","","Reject"
"149","u_delibtreatmentgroup1","","","","","-0.653","Reject","","","","","","Reject"
"169","logit","","","","","","","0.437","Reject","0.760","Reject","0.739","Reject"
"173","ols","","","","","","","0.375","Reject","0.529","Reject","1.210","Reject"
"177","Stock","","","","","","","-2.669 **","Reject","-2.659 **","Reject","-3.072 **","Reject"
"181","ChangeFlow","","","","","","","-2.710","Reject","-2.188","Reject","-143.892 ***","Reject"
"193","w2006","","","","","","","","","-0.456","Reject","-0.847","Reject"
"195","w2016","","","","","","","","","0.653","Reject","1.156","Reject"
"197","orig13","","","","","","","","","1.234","Reject","1.245","Reject"
"199","eeurope","","","","","","","","","3.372","Reject","4.183","Reject"
"201","allavailable","","","","","","","","","-2.720","Reject","-3.154","Reject"
"207","twowayfe","","","","","","","","","","","-0.167","Reject"
"208","level_cyear","","","","","","","","","","","0.562","Reject"
"209","mlm_fe","","","","","","","","","","","71.839 ***","Reject"
"211","anynonlin","","","","","","","","","","","-0.256","Reject"
"212","Observations","88","88","88","88","88","88","88","88","88","88","88","88"
"213","R2 Nagelkerke","0.000","0.000","0.048","0.048","0.077","0.077","0.214","0.214","0.287","0.287","0.515","0.515"
"214","Deviance","160.215","160.215","156.574","156.574","154.329","154.329","142.790","142.790","136.006","136.006","110.479","110.479"
"215","log-Likelihood","-80.107","-80.107","-78.287","-78.287","-77.165","-77.165","-71.395","-71.395","-68.003","-68.003","-55.240","-55.240"
"216","* p<0.05   ** p<0.01   *** p<0.001","","","","","","","","","","","",""
